0.0325	0.004365
0.195	0.02637
0.2275	0.03085
0.39	0.05388
0.4225	0.05867
0.585	0.08384
0.6175	0.08918
0.78	0.1179
0.8125	0.1241
0.975	0.1583
1.008	0.1659
1.17	0.2087
1.202	0.2184
1.365	0.2744
1.397	0.2874
1.56	0.3641
1.593	0.3823
1.755	0.4904
1.788	0.5158
1.95	0.6593
1.982	0.6896
2.145	0.8172
2.178	0.8321
2.243	0.8459
2.34	0.8263
2.373	0.811
2.535	0.703
2.567	0.6796
2.73	0.572
2.763	0.5531
2.925	0.4723
2.958	0.4586
3.12	0.4
3.152	0.39
3.315	0.3468
3.348	0.3393
3.51	0.3065
3.542	0.3007
3.705	0.2749
3.737	0.2703
3.9	0.2496
3.933	0.2459
4.095	0.2289
4.128	0.2258
4.29	0.2116
4.322	0.209
4.485	0.197
4.518	0.1948
4.68	0.1844
4.713	0.1825
4.875	0.1734
4.907	0.1717
5.07	0.1638
5.103	0.1623
5.265	0.1553
5.298	0.154
5.46	0.1477
5.492	0.1465
5.655	0.1408
5.688	0.1398
5.85	0.1346
5.883	0.1337
6.045	0.129
6.077	0.1281
6.24	0.1239
